Label,X,Y
0,0,0
1,0.8,0
2,1.6,0
3,2.4,0
4,3.2,0
5,4,0
6,4.8,0
7,5.6,0
8,6.4,0
9,7.2,0
10,8,0
11,8.8,0
12,9.6,0
13,10.4,0
14,11.2,0
15,12,0
16,12.8,0
17,13.6,0
18,14.4,0
19,15.2,0
20,0,0.8
21,0.8,0.8
22,1.6,0.8
23,2.4,0.8
24,3.2,0.8
25,4,0.8
26,4.8,0.8
27,5.6,0.8
28,6.4,0.8
29,7.2,0.8
30,8,0.8
31,8.8,0.8
32,9.6,0.8
33,10.4,0.8
34,11.2,0.8
35,12,0.8
36,12.8,0.8
37,13.6,0.8
38,14.4,0.8
39,15.2,0.8
40,0,1.6
41,0.8,1.6
42,1.6,1.6
43,2.4,1.6
44,3.2,1.6
45,4,1.6
46,4.8,1.6
47,5.6,1.6
48,6.4,1.6
49,7.2,1.6
50,8,1.6
51,8.8,1.6
52,9.6,1.6
53,10.4,1.6
54,11.2,1.6
55,12,1.6
56,12.8,1.6
57,13.6,1.6
58,14.4,1.6
59,15.2,1.6
60,0,2.4
61,0.8,2.4
62,1.6,2.4
63,2.4,2.4
64,3.2,2.4
65,4,2.4
66,4.8,2.4
67,5.6,2.4
68,6.4,2.4
69,7.2,2.4
70,8,2.4
71,8.8,2.4
72,9.6,2.4
73,10.4,2.4
74,11.2,2.4
75,12,2.4
76,12.8,2.4
77,13.6,2.4
78,14.4,2.4
79,15.2,2.4
